RelTime,UT,x,y,z
1516,2004-Feb-25 12:00,-0.2998241737854788,0.9265315776761066,0.33697012309902025
1517,2004-Feb-26 12:00,-0.315532724073934,0.9244136140453223,0.33577663451042855
1518,2004-Feb-27 12:00,-0.33115702661654445,0.9220472127544566,0.33449307320705074
1519,2004-Feb-28 12:00,-0.34669291405347025,0.9194348943356419,0.3331203800437628
1520,2004-Feb-29 12:00,-0.36213699803571636,0.9165791133447115,0.3316590531841014
1521,2004-Mar-01 12:00,-0.37748515677661343,0.9134822995562675,0.33011057861697957
1522,2004-Mar-02 12:00,-0.39273536251803876,0.910146226545771,0.3284760022778034
1523,2004-Mar-03 12:00,-0.40788303853774294,0.9065739144892987,0.3267559229437108
1524,2004-Mar-04 12:00,-0.42292558130074004,0.9027674037868794,0.3249514518961946
1525,2004-Mar-05 12:00,-0.4378598323887996,0.898729155269295,0.3230632502792205
1526,2004-Mar-06 12:00,-0.4526818892212119,0.894461679297871,0.3210929802501562
1527,2004-Mar-07 12:00,-0.46738933311026026,0.8899671370408818,0.31904136879119277
1528,2004-Mar-08 12:00,-0.48197913402096315,0.8852479962622485,0.3169091715022325
1529,2004-Mar-09 12:00,-0.4964476657221796,0.8803070849931217,0.3146971724689813
1530,2004-Mar-10 12:00,-0.5107924800086845,0.8751462679403419,0.31240716664721435
1531,2004-Mar-11 12:00,-0.5250108233500117,0.8697682811841377,0.31003901722071064
1532,2004-Mar-12 12:00,-0.539099049780279,0.8641757299611735,0.30759458032153497
1533,2004-Mar-13 12:00,-0.5530549693341549,0.8583707223022834,0.30507475976995113
1534,2004-Mar-14 12:00,-0.5668757955207884,0.8523557387988253,0.3024804868108405
1535,2004-Mar-15 12:00,-0.5805588631700414,0.8461333813328273,0.2998122223952372
1536,2004-Mar-16 12:00,-0.5941007722131671,0.8397064413525827,0.2970714470263074
1537,2004-Mar-17 12:00,-0.6075000770836927,0.833076550428449,0.29425917286566483
1538,2004-Mar-18 12:00,-0.6207530117129081,0.8262471835888591,0.2913759374835041
1539,2004-Mar-19 12:00,-0.6338581011492901,0.8192198213088898,0.2884233043817165
1540,2004-Mar-20 12:00,-0.6468122629633345,0.8119975083461721,0.28540186093557157
1541,2004-Mar-21 12:00,-0.6596122994403997,0.8045831099369668,0.28231322445551693
1542,2004-Mar-22 12:00,-0.6722570679182664,0.7969783855366623,0.27915752547089445
1543,2004-Mar-23 12:00,-0.6847440957308413,0.7891858005096033,0.2759359239813584
1544,2004-Mar-24 12:00,-0.6970702863766398,0.781208234194648,0.2726501123592699
