element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ne,1,"=""470.0469""","=""0.0020""","=""50""","=""""",,"=""148257.7898""","=""169526.2708""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
Ne,2,"=""470.0483""","=""0.0020""","=""12""","=""""",,"=""281720.2755""","=""302988.859""","=""2s2.2p4.(3P).3d""","=""2P""","=""3/2""","=""2s2.2p4.(3P<2>).4f""","=""2[1]*""","=""1/2""",,"=""""","=""L1406""",
Ne,1,"=""470.25305""","=""0.00020""","=""1500""","=""1.62e+05""",C,"=""148257.7898""","=""169516.9948""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L4498""",
Ne,1,"=""470.43949""","=""0.00004""","=""15000""","=""2.10e+06""",C+,"=""148257.7898""","=""169508.5627""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L3451""",
Ne,1,"=""470.88594""","=""0.00020""","=""12000""","=""3.26e+06""",C+,"=""148257.7898""","=""169488.4193""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L4498""",
Ne,1,"=""471.00650""","=""0.00020""","=""10000""","=""4.09e+06""",C+,"=""148257.7898""","=""169482.9862""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""",,"=""T6976""","=""L4498""",
Ne,1,"=""471.04881""","=""0.00020""","=""300""","=""""",,"=""151038.4524""","=""172261.741""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""""","=""L4498""",
Ne,1,"=""471.20633""","=""0.00020""","=""15000""","=""""",,"=""149657.0392""","=""170873.2327""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""",,"=""""","=""L4498""",
Ne,1,"=""471.21406""","=""0.00020""","=""150*""","=""""",,"=""149657.0392""","=""170872.8524""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",,"=""""","=""L4498""",
Ne,1,"=""471.21406""","=""0.00020""","=""150*""","=""""",,"=""151038.4524""","=""172254.295""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""0""",,"=""""","=""L4498""",
Ne,1,"=""471.2800""","=""0.0020""","=""100""","=""""",,"=""150858.5079""","=""172071.389""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
Ne,2,"=""471.2968""","=""0.0020""","=""22""","=""""",,"=""291968.116""","=""313180.2149""","=""2s2.2p4.(3P).4p""","=""4D*""","=""1/2""","=""2s2.2p4.(3P).6s""","=""2P""","=""3/2""",,"=""""","=""L1406""",
Ne,2,"=""471.3458""","=""0.0020""","=""22""","=""""",,"=""302961.0417""","=""324170.97""","=""2s2.2p4.(3P).4d""","=""4F""","=""3/2""","=""2s2.2p4.(3P<1>).8f""","=""2[3]*""","=""5/2""",,"=""""","=""L1406""",
Ne,4,"=""471.425""","=""0.004""","=""*""","=""2.10e-01""",C,"=""41234.43""","=""62440.78""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p3""","=""2P*""","=""3/2""",M1,"=""T569""","=""L3452""",
Ne,4,"=""471.425""","=""0.004""","=""*""","=""1.91e-01""",C,"=""41234.43""","=""62440.78""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p3""","=""2P*""","=""3/2""",E2,"=""T569""","=""L3452""",
Ne,1,"=""471.43397""","=""0.00020""","=""700""","=""""",,"=""149657.0392""","=""170862.9893""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",,"=""""","=""L4498""",
