element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,2,"=""502.566""","=""""","=""360""","=""1.04e+07""",A,"=""166678.64""","=""186570.98""","=""2s2.2p.3p""","=""3D""","=""3""","=""2s2.2p.3d""","=""3F*""","=""3""",,"=""T7333""","=""L3513""",
N,2,"=""504.510""","=""""","=""550""","=""3.37e+07""",B,"=""149076.52""","=""168892.21""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.3p""","=""3S""","=""1""",,"=""T7333""","=""L3513""",
N,1,"=""528.120""","=""""","=""185""","=""2.45e+05""",C,"=""88107.260""","=""107037.069""","=""2s.2p4""","=""4P""","=""5/2""","=""2s2.2p2.(3P).4p""","=""4P*""","=""5/2""",,"=""T5475""","=""L3513""",
N,1,"=""529.268""","=""""","=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
N,3,"=""531.435""","=""""","=""90""","=""1.14e+07""",B,"=""317395.2""","=""336206.9""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""",,"=""T7192LS""","=""L3513""",
N,3,"=""532.082""","=""""","=""200""","=""5.68e+07""",B,"=""321066.8""","=""339855.5""","=""2s.2p.(3P*).3p""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""",,"=""T7192LS""","=""L3513""",
N,3,"=""532.718""","=""""","=""150""","=""5.29e+07""",B,"=""320978.2""","=""339744.6""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2F*""","=""5/2""",,"=""T7192LS""","=""L3513""",
N,2,"=""549.567""","=""""","=""450""","=""2.66e+07""",B+,"=""170666.23""","=""188857.37""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.3d""","=""3P*""","=""2""",,"=""T7333""","=""L3513""",
N,2,"=""553.536""","=""""","=""285""","=""6.04e+07""",C+,"=""205724.81""","=""223785.51""","=""2s.2p2.(4P).3s""","=""5P""","=""3""","=""2s.2p2.(4P).3p""","=""5D*""","=""4""",,"=""T5520LS""","=""L3513""",
N,2,"=""566.663""","=""""","=""650""","=""3.45e+07""",A,"=""148940.17""","=""166582.45""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.3p""","=""3D""","=""2""",,"=""T7333""","=""L3513""",
N,2,"=""567.602""","=""""","=""550""","=""2.80e+07""",A,"=""148908.59""","=""166521.69""","=""2s2.2p.3s""","=""3P*""","=""0""","=""2s2.2p.3p""","=""3D""","=""1""",,"=""T7333""","=""L3513""",
N,2,"=""567.956""","=""""","=""870""","=""4.96e+07""",A,"=""149076.52""","=""166678.64""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.3p""","=""3D""","=""3""",,"=""T7333""","=""L3513""",
N,2,"=""568.621""","=""""","=""450""","=""1.78e+07""",A,"=""148940.17""","=""166521.69""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.3p""","=""3D""","=""1""",,"=""T7333""","=""L3513""",
N,2,"=""571.077""","=""""","=""450""","=""1.17e+07""",A,"=""149076.52""","=""166582.45""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.3p""","=""3D""","=""2""",,"=""T7333""","=""L3513""",
N,2,"=""574.730""","=""""","=""285""","=""3.27e+06""",B+,"=""149187.80""","=""166582.45""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.3p""","=""3D""","=""2""",,"=""T7333""","=""L3513""",
N,1,"=""575.250""","=""""","=""700""","=""1.06e+06""",C,"=""95532.150""","=""112911.079""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""7/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""576.475""","=""""","=""240""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
N,1,"=""582.954""","=""""","=""265""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
N,1,"=""585.404""","=""""","=""235""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
N,2,"=""592.781""","=""""","=""360""","=""3.19e+07""",A,"=""170572.61""","=""187437.56""","=""2s2.2p.3p""","=""3P""","=""0""","=""2s2.2p.3d""","=""3D*""","=""1""",,"=""T7333""","=""L3513""",
N,2,"=""593.178""","=""""","=""550""","=""4.23e+07""",A,"=""170607.89""","=""187461.56""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.3d""","=""3D*""","=""2""",,"=""T7333""","=""L3513""",
N,2,"=""594.024""","=""""","=""285""","=""2.22e+07""",A,"=""170607.89""","=""187437.56""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.3d""","=""3D*""","=""1""",,"=""T7333""","=""L3513""",
N,2,"=""594.165""","=""""","=""650""","=""5.47e+07""",A,"=""170666.23""","=""187491.90""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.3d""","=""3D*""","=""3""",,"=""T7333""","=""L3513""",
N,2,"=""595.239""","=""""","=""285""","=""1.24e+07""",A,"=""170666.23""","=""187461.56""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.3d""","=""3D*""","=""2""",,"=""T7333""","=""L3513""",
N,1,"=""599.943""","=""""","=""160""","=""3.64e+06""",C+,"=""93581.550""","=""110245.183""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).4d""","=""2P""","=""1/2""",,"=""T6340""","=""L3513""",
N,1,"=""600.847""","=""""","=""210""","=""3.58e+06""",C+,"=""93581.550""","=""110220.107""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).4d""","=""2P""","=""3/2""",,"=""T6340""","=""L3513""",
N,2,"=""616.776""","=""""","=""285""","=""2.65e+07""",C+,"=""186652.49""","=""202861.36""","=""2s2.2p.3d""","=""3F*""","=""4""","=""2s2.2p.4p""","=""3D""","=""3""",,"=""T6385n""","=""L3513""",
N,2,"=""637.962""","=""""","=""360""","=""3.52e+06""",B,"=""148940.17""","=""164610.76""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.3p""","=""1P""","=""1""",,"=""T7333""","=""L3513""",
N,4,"=""638.077""","=""""","=""150""","=""1.42e+07""",B,"=""388854.6""","=""404522.4""","=""1s2.2s.3s""","=""1S""","=""0""","=""1s2.2s.3p""","=""1P*""","=""1""",,"=""T5633""","=""L4738""",
N,1,"=""641.165""","=""""","=""185""","=""7.86e+05""",C,"=""94793.490""","=""110385.795""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""1/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""642.064""","=""""","=""210""","=""8.97e+05""",C,"=""94830.890""","=""110401.356""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""5/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""642.302""","=""""","=""210""","=""5.47e+05""",C,"=""94830.890""","=""110395.463""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""3/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""642.832""","=""""","=""210""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
N,1,"=""643.768""","=""""","=""185""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
N,1,"=""644.094""","=""""","=""235""","=""1.33e+06""",C,"=""94881.820""","=""110403.220""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""7/2""",,"=""u18,LS""","=""L3513""",
N,3,"=""645.411""","=""""","=""90""","=""1.49e+07""",B,"=""317336.2""","=""332826.0""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""",,"=""T7192LS""","=""L3513""",
N,1,"=""645.790""","=""""","=""185""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
N,3,"=""646.702""","=""""","=""120""","=""2.11e+07""",B,"=""317395.2""","=""332854.0""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""",,"=""T7192LS""","=""L3513""",
N,1,"=""646.844""","=""""","=""300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
N,1,"=""648.171""","=""""","=""265""","=""3.43e+06""",C,"=""94770.880""","=""110194.654""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""3/2""",,"=""u18,LS""","=""L3513""",
N,2,"=""648.205""","=""""","=""750""","=""2.58e+07""",B+,"=""149187.80""","=""164610.76""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.3p""","=""1P""","=""1""",,"=""T7333""","=""L3513""",
N,1,"=""648.270""","=""""","=""360""","=""4.90e+06""",C,"=""94881.820""","=""110303.233""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""9/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""648.375""","=""""","=""300""","=""3.67e+06""",C,"=""94793.490""","=""110212.396""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""5/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""648.480""","=""""","=""325""","=""4.20e+06""",C,"=""94830.890""","=""110247.288""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""7/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""649.122""","=""""","=""160""","=""1.37e+06""",C,"=""94793.490""","=""110194.654""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""3/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""649.954""","=""""","=""210""","=""1.18e+06""",C,"=""94830.890""","=""110212.396""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""5/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""650.631""","=""""","=""185""","=""6.91e+05""",C,"=""94881.820""","=""110247.288""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""7/2""",,"=""u18,LS""","=""L3513""",
N,2,"=""661.056""","=""""","=""750""","=""6.01e+07""",B,"=""174212.03""","=""189335.16""","=""2s2.2p.3p""","=""1D""","=""2""","=""2s2.2p.3d""","=""1F*""","=""3""",,"=""T7333""","=""L3513""",
N,1,"=""662.254""","=""""","=""185""","=""7.93e+05""",D+,"=""94830.890""","=""109926.661""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""663.694""","=""""","=""185""","=""1.40e+06""",D+,"=""94793.490""","=""109856.520""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""664.496""","=""""","=""235""","=""3.49e+06""",D+,"=""94881.820""","=""109926.661""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""664.650""","=""""","=""185""","=""2.18e+06""",D+,"=""94770.880""","=""109812.233""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""665.346""","=""""","=""235""","=""2.74e+06""",D+,"=""94830.890""","=""109856.520""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""665.651""","=""""","=""210""","=""2.17e+06""",D+,"=""94793.490""","=""109812.233""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""672.262""","=""""","=""185""","=""3.56e+06""",C,"=""95532.150""","=""110403.220""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""7/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""739.864""","=""""","=""210""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
N,1,"=""740.612""","=""""","=""160""","=""1.52e+06""",C,"=""96787.680""","=""110286.305""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""2F""","=""5/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""740.624""","=""""","=""265""","=""1.63e+06""",C,"=""96864.050""","=""110362.462""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""2F""","=""7/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""742.364""","=""""","=""685""","=""5.64e+06""",B+,"=""83284.070""","=""96750.840""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""",,"=""T7370""","=""L3513""",
N,1,"=""744.229""","=""""","=""785""","=""1.19e+07""",B+,"=""83317.830""","=""96750.840""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""",,"=""T7370""","=""L3513""",
