t,x,y,z,x_earth,y_earth,z_earth
6056.0,0.5924591842621707,0.7705700342093265,-0.027436142622911528,0.551938599559322,-0.8400373118390297,9.266151015617291e-05
6057.0,0.5754267442407217,0.7714285497119168,-0.027881146239292356,0.5658756673389284,-0.8300958824142511,9.030199620611824e-05
6058.0,0.558203536212304,0.7720312819291822,-0.0283169044917024,0.5796475930476815,-0.8199122097634981,8.791614482562063e-05
6059.0,0.5407895680464724,0.772370141378122,-0.028742983478254526,0.5932500991123475,-0.8094889000573365,8.550461201711366e-05
6060.0,0.5231849705810977,0.7724366959365402,-0.02915892804606588,0.6066789439939599,-0.7988286369566632,8.306806324487976e-05
6061.0,0.5053900124415479,0.77222215245136,-0.029564260458060664,0.6199299236439056,-0.7879341813108697,8.060717330022206e-05
6062.0,0.4874051165108932,0.7717173372907918,-0.02995847896447374,0.6329988729662694,-0.7768083708277232,7.812262616195813e-05
6063.0,0.469230878245104,0.7709126757928397,-0.030341056271963988,0.6458816672859018,-0.7654541197144457,7.561511485218886e-05
6064.0,0.4508680860513463,0.7697981705651017,-0.030711437902813415,0.6585742238216479,-0.7538744182894765,7.308534128729863e-05
6065.0,0.4323177439747198,0.7683633785948155,-0.03106904043626418,0.671072503164152,-0.7420723325644205,7.053401612414805e-05
6066.0,0.4135810969695068,0.7665973871340633,-0.03141324962364568,0.683372510757631,-0.7300510037956829,6.796185860141963e-05
6067.0,0.39465965906563344,0.7644887883334873,-0.031743418368585144,0.69547029838498,-0.7178136480053129,6.536959637608395e-05
6068.0,0.3755552447800417,0.7620256526094378,-0.03205886456330175,0.7073619656555585,-0.7053635554705806,6.275796535495362e-05
6069.0,0.3562700041665354,0.759195500744978,-0.03235886877178823,0.7190436614949718,-0.6927040901818309,6.0127709521297606e-05
6070.0,0.3368064619469126,0.7559852747455935,-0.0326426717506251,0.7305115856361468,-0.6798386892681666,5.747958075649122e-05
6071.0,0.31716756122137124,0.752381307497024,-0.03290947179830498,0.7417619901109731,-0.6667708623905321,5.4814338656681075e-05
6072.0,0.29735671231782146,0.748369291306843,-0.03315842192433428,0.7527911807417562,-0.6535041911017796,5.2132750344447906e-05
6073.0,0.2773778474083585,0.7439342454551174,-0.03338862683011573,0.7635955186317118,-0.6400423281733205,4.9435590275452666e-05
6074.0,0.2572354815971968,0.7390604829349166,-0.03359913969480582,0.774171421653699,-0.6263889968879796,4.6723640040058855e-05
6075.0,0.2369347812681528,0.733731576633393,-0.033788958761129514,0.7845153659363749,-0.6125479902986899,4.3997688159923406e-05
6076.0,0.2164816405713941,0.7279303252919712,-0.033957023718696036,0.7946238873469257,-0.5985231704526847,4.125852987955751e-05
6077.0,0.19588276702842305,0.7216387196939303,-0.034102211885918964,0.8044935829695089,-0.5843184675808651,3.850696695285893e-05
6078.0,0.1751457773404256,0.7148379096642969,-0.034223334196482796,0.8141211125785212,-0.5699378792520432,3.574380742462442e-05
6079.0,0.15427930459675343,0.7075081726363773,-0.03431913100276565,0.8235032001057813,-0.5553854694917809,3.2969865407055684e-05
6080.0,0.13329311819498646,0.6996288847485198,-0.03438826771716167,0.8326366351007004,-0.5406653678655763,3.018596085127502e-05
6081.0,0.1121982578978743,0.6911784956921764,-0.034429330323384,0.8415182741824911,-0.5257817685261639,2.739291931387329e-05
6082.0,0.09100718355966557,0.6821345088477763,-0.03444082080423062,0.8501450424834457,-0.5107389292247311,2.4591571718517494e-05
6083.0,0.0697339421464121,0.6724734686296041,-0.0344211525507631,0.858513935082295,-0.49554117028587386,2.178275411264985e-05
6084.0,0.04839435373972014,0.6621709574275206,-0.03436864584134737,0.8666220184266459,-0.4801928735461465,1.8967307419315966e-05
6085.0,0.02700621823428412,0.6512016050959346,-0.034281523508679385,0.87446643174347,-0.4646984812560873,1.614607718416442e-05
6086.0,0.005589544393327504,0.6395391146137375,-0.03415790695009984,0.8820443884366078,-0.4490624949456357,1.331991331766523e-05
6087.0,-0.015833197218305534,0.6271563083375682,-0.03399581268270423,0.88935317747023,-0.43328947425288256,1.0489669832601197e-05
6088.0,-0.037236796187505104,0.6140252002077574,-0.03379314970163924,0.8963901647371896,-0.41738403571613325,7.65620457688959e-06
6089.0,-0.05859299833402232,0.6001171003503498,-0.03354771796927688,0.9031527944111776,-0.40135085152929256,4.820378961799005e-06
6090.0,-0.07987017590047224,0.585402759750417,-0.0332572084463296,0.9096385902815902,-0.38519464826061633,1.9830576856296e-06
6091.0,-0.10103297292147265,0.5698525640383341,-0.03291920517474553,0.9158451570699955,-0.3689202055349091,-8.54891547066969e-07
6092.0,-0.12204192838686945,0.5534367868968282,-0.0325311900370128,0.9217701817270858,-0.35253235467928384,-3.6925983106485477e-06
6093.0,-0.14285308193965643,0.5361259150943112,-0.032090550946593376,0.9274114347089848,-0.33603597733263535,-6.529189747839746e-06
6094.0,-0.16341756969713747,0.5178910585634162,-0.0315945943666979,0.9327667712317764,-0.31943600401901845,-9.363790863391999e-06
6095.0,-0.18368122150229385,0.4987044600906519,-0.031040563203210428,0.9378341325031132,-0.3027374126851579,-1.2195524821852319e-05
